[2026-07-13 12:04:08] Boot complete
[2026-07-13 14:42:40] ADS value: 21.60, Ver: 109
[2026-07-13 14:43:11] ADS value: 21.60, Ver: 109
[2026-07-13 14:43:43] ADS value: 21.60, Ver: 109
[2026-07-13 14:44:15] ADS value: 21.59, Ver: 109
[2026-07-13 14:44:46] ADS value: 21.59, Ver: 109
[2026-07-13 14:45:18] ADS value: 21.59, Ver: 109
[2026-07-13 14:45:50] ADS value: 21.59, Ver: 109
[2026-07-13 14:46:21] ADS value: 21.59, Ver: 109
[2026-07-13 14:46:54] ADS value: 21.58, Ver: 109
[2026-07-13 14:47:26] ADS value: 21.59, Ver: 109
[2026-07-13 14:47:57] ADS value: 21.58, Ver: 109
[2026-07-13 14:48:29] ADS value: 21.58, Ver: 109
[2026-07-13 14:49:00] ADS value: 21.58, Ver: 109
[2026-07-13 14:49:31] ADS value: 21.58, Ver: 109
[2026-07-13 14:50:03] ADS value: 21.58, Ver: 109
[2026-07-13 14:51:10] ADS value: 21.58, Ver: 109
[2026-07-13 14:51:41] ADS value: 21.58, Ver: 109
[2026-07-13 14:52:12] ADS value: 21.57, Ver: 109
[2026-07-13 14:52:44] ADS value: 21.57, Ver: 109
[2026-07-13 14:53:15] ADS value: 21.58, Ver: 109
[2026-07-13 14:53:47] ADS value: 21.57, Ver: 109
[2026-07-13 14:54:18] ADS value: 21.57, Ver: 109
[2026-07-13 14:54:49] ADS value: 21.57, Ver: 109
[2026-07-13 14:55:21] ADS value: 21.57, Ver: 109
[2026-07-13 14:55:53] ADS value: 21.57, Ver: 109
[2026-07-13 14:56:24] ADS value: 21.57, Ver: 109
[2026-07-13 14:56:56] ADS value: 21.57, Ver: 109
[2026-07-13 14:57:28] ADS value: 21.57, Ver: 109
[2026-07-13 14:57:59] ADS value: 21.56, Ver: 109
[2026-07-13 14:58:30] ADS value: 21.56, Ver: 109
[2026-07-13 14:59:02] ADS value: 21.56, Ver: 109
[2026-07-13 14:59:34] ADS value: 21.56, Ver: 109
[2026-07-13 15:00:05] ADS value: 21.56, Ver: 109
[2026-07-13 15:00:37] ADS value: 21.56, Ver: 109
[2026-07-13 15:01:08] ADS value: 21.56, Ver: 109
[2026-07-13 15:01:40] ADS value: 21.55, Ver: 109
[2026-07-13 15:02:16] ADS value: 21.56, Ver: 109
[2026-07-13 15:02:46] ADS value: 21.55, Ver: 109
[2026-07-13 15:03:18] ADS value: 21.55, Ver: 109
[2026-07-13 15:03:49] ADS value: 21.55, Ver: 109
[2026-07-13 15:04:21] ADS value: 21.55, Ver: 109
[2026-07-13 15:04:55] ADS value: 21.55, Ver: 109
[2026-07-13 15:06:02] ADS value: 21.54, Ver: 109
[2026-07-13 15:06:33] ADS value: 21.54, Ver: 109
[2026-07-13 15:07:05] ADS value: 21.54, Ver: 109
[2026-07-13 15:07:37] ADS value: 21.54, Ver: 109
[2026-07-13 15:08:08] ADS value: 21.54, Ver: 109
[2026-07-13 15:08:39] ADS value: 21.54, Ver: 109
[2026-07-13 15:09:11] ADS value: 21.54, Ver: 109
[2026-07-13 15:09:42] ADS value: 21.54, Ver: 109
[2026-07-13 15:10:13] ADS value: 21.53, Ver: 109
[2026-07-13 15:10:45] ADS value: 21.53, Ver: 109
[2026-07-13 15:11:16] ADS value: 21.53, Ver: 109
[2026-07-13 15:11:48] ADS value: 21.54, Ver: 109
[2026-07-13 15:12:20] ADS value: 21.53, Ver: 109
[2026-07-13 15:12:52] ADS value: 21.53, Ver: 109
[2026-07-13 15:13:23] ADS value: 21.53, Ver: 109
[2026-07-13 15:13:54] ADS value: 21.53, Ver: 109
[2026-07-13 15:15:01] ADS value: 21.53, Ver: 109
[2026-07-13 15:15:32] ADS value: 21.53, Ver: 109
[2026-07-13 15:16:04] ADS value: 21.53, Ver: 109
[2026-07-13 15:16:35] ADS value: 21.53, Ver: 109
[2026-07-13 15:17:07] ADS value: 21.52, Ver: 109
[2026-07-13 15:17:38] ADS value: 21.52, Ver: 109
[2026-07-13 15:18:10] ADS value: 21.52, Ver: 109
[2026-07-13 15:18:41] ADS value: 21.52, Ver: 109
[2026-07-13 15:19:12] ADS value: 21.52, Ver: 109
[2026-07-13 15:20:19] ADS value: 21.52, Ver: 109
[2026-07-13 15:20:51] ADS value: 21.52, Ver: 109
[2026-07-13 15:21:23] ADS value: 21.52, Ver: 109
[2026-07-13 15:21:54] ADS value: 21.51, Ver: 109
[2026-07-13 15:22:25] ADS value: 21.51, Ver: 109
[2026-07-13 15:22:57] ADS value: 21.51, Ver: 109
[2026-07-13 15:23:29] ADS value: 21.51, Ver: 109
[2026-07-13 15:24:00] ADS value: 21.52, Ver: 109
[2026-07-13 15:24:32] ADS value: 21.51, Ver: 109
[2026-07-13 15:25:04] ADS value: 21.51, Ver: 109
[2026-07-13 15:25:35] ADS value: 21.51, Ver: 109
[2026-07-13 15:26:07] ADS value: 21.51, Ver: 109
[2026-07-13 15:26:38] ADS value: 21.50, Ver: 109
[2026-07-13 15:27:10] ADS value: 21.50, Ver: 109
[2026-07-13 15:27:42] ADS value: 21.51, Ver: 109
[2026-07-13 15:28:14] ADS value: 21.50, Ver: 109
[2026-07-13 15:28:45] ADS value: 21.50, Ver: 109
[2026-07-13 15:29:20] ADS value: 21.50, Ver: 109
[2026-07-13 15:29:51] ADS value: 21.50, Ver: 109
[2026-07-13 15:30:23] ADS value: 21.50, Ver: 109
[2026-07-13 15:30:55] ADS value: 21.50, Ver: 109
[2026-07-13 15:31:26] ADS value: 21.49, Ver: 109
[2026-07-13 15:31:58] ADS value: 21.49, Ver: 109
[2026-07-13 15:32:29] ADS value: 21.49, Ver: 109
[2026-07-13 15:33:01] ADS value: 21.49, Ver: 109
[2026-07-13 15:33:32] ADS value: 21.49, Ver: 109
[2026-07-13 15:34:39] ADS value: 21.49, Ver: 109
[2026-07-13 15:35:11] ADS value: 21.48, Ver: 109
[2026-07-13 15:35:42] ADS value: 21.48, Ver: 109
[2026-07-13 15:36:14] ADS value: 21.48, Ver: 109
[2026-07-13 15:36:46] ADS value: 21.48, Ver: 109
[2026-07-13 15:37:17] ADS value: 21.49, Ver: 109
[2026-07-13 15:37:49] ADS value: 21.48, Ver: 109
[2026-07-13 15:38:21] ADS value: 21.48, Ver: 109
[2026-07-13 15:38:53] ADS value: 21.48, Ver: 109
[2026-07-13 15:39:25] ADS value: 21.48, Ver: 109
[2026-07-13 15:39:57] ADS value: 21.47, Ver: 109
[2026-07-13 15:40:29] ADS value: 21.47, Ver: 109
[2026-07-13 15:41:00] ADS value: 21.47, Ver: 109
[2026-07-13 15:41:33] ADS value: 21.47, Ver: 109
[2026-07-13 15:42:07] ADS value: 21.47, Ver: 109
[2026-07-13 15:42:38] ADS value: 21.47, Ver: 109
[2026-07-13 15:43:09] ADS value: 21.47, Ver: 109
[2026-07-13 15:43:40] ADS value: 21.46, Ver: 109
[2026-07-13 15:44:47] ADS value: 21.47, Ver: 109
[2026-07-13 15:45:19] ADS value: 21.47, Ver: 109
[2026-07-13 15:45:50] ADS value: 21.46, Ver: 109
[2026-07-13 15:46:21] ADS value: 21.46, Ver: 109
[2026-07-13 15:46:54] ADS value: 21.46, Ver: 109
[2026-07-13 15:47:26] ADS value: 21.46, Ver: 109
[2026-07-13 15:47:58] ADS value: 21.45, Ver: 109
[2026-07-13 15:48:29] ADS value: 21.46, Ver: 109
[2026-07-13 15:49:01] ADS value: 21.46, Ver: 109
[2026-07-13 15:49:32] ADS value: 21.45, Ver: 109
[2026-07-13 15:50:04] ADS value: 21.46, Ver: 109
[2026-07-13 15:50:36] ADS value: 21.45, Ver: 109
[2026-07-13 15:51:08] ADS value: 21.45, Ver: 109
[2026-07-13 15:51:40] ADS value: 21.45, Ver: 109
[2026-07-13 15:52:11] ADS value: 21.45, Ver: 109
[2026-07-13 15:52:43] ADS value: 21.45, Ver: 109
[2026-07-13 15:53:14] ADS value: 21.45, Ver: 109
[2026-07-13 15:53:46] ADS value: 21.45, Ver: 109
[2026-07-13 15:54:18] ADS value: 21.46, Ver: 109
[2026-07-13 15:54:50] ADS value: 21.45, Ver: 109
[2026-07-13 15:55:22] ADS value: 21.45, Ver: 109
[2026-07-13 15:55:54] ADS value: 21.45, Ver: 109
[2026-07-13 15:56:25] ADS value: 21.45, Ver: 109
[2026-07-13 15:56:57] ADS value: 21.45, Ver: 109
[2026-07-13 15:57:28] ADS value: 21.44, Ver: 109
[2026-07-13 15:58:00] ADS value: 21.44, Ver: 109
[2026-07-13 15:59:07] ADS value: 21.44, Ver: 109
[2026-07-13 15:59:39] ADS value: 21.44, Ver: 109
[2026-07-13 16:00:10] ADS value: 21.45, Ver: 109
[2026-07-13 16:00:42] ADS value: 21.44, Ver: 109
[2026-07-13 16:01:13] ADS value: 21.45, Ver: 109
[2026-07-13 16:01:44] ADS value: 21.44, Ver: 109
[2026-07-13 16:02:15] ADS value: 21.44, Ver: 109
[2026-07-13 16:02:47] ADS value: 21.45, Ver: 109
[2026-07-13 16:03:18] ADS value: 21.45, Ver: 109
[2026-07-13 16:03:49] ADS value: 21.45, Ver: 109
[2026-07-13 16:04:21] ADS value: 21.44, Ver: 109
[2026-07-13 16:04:52] ADS value: 21.44, Ver: 109
[2026-07-13 16:05:24] ADS value: 21.44, Ver: 109
[2026-07-13 16:05:55] ADS value: 21.44, Ver: 109
[2026-07-13 16:06:26] ADS value: 21.44, Ver: 109
[2026-07-13 16:06:58] ADS value: 21.44, Ver: 109
[2026-07-13 16:07:29] ADS value: 21.44, Ver: 109
[2026-07-13 16:08:00] ADS value: 21.44, Ver: 109
[2026-07-13 16:08:32] ADS value: 21.44, Ver: 109
[2026-07-13 16:09:03] ADS value: 21.45, Ver: 109
[2026-07-13 16:09:34] ADS value: 21.44, Ver: 109
[2026-07-13 16:10:05] ADS value: 21.44, Ver: 109
[2026-07-13 16:10:37] ADS value: 21.44, Ver: 109
[2026-07-13 16:11:08] ADS value: 21.44, Ver: 109
[2026-07-13 16:11:39] ADS value: 21.44, Ver: 109
[2026-07-13 16:12:11] ADS value: 21.44, Ver: 109
[2026-07-13 16:13:17] ADS value: 21.44, Ver: 109
[2026-07-13 16:13:48] ADS value: 21.44, Ver: 109
[2026-07-13 16:14:20] ADS value: 21.44, Ver: 109
[2026-07-13 16:14:51] ADS value: 21.44, Ver: 109
[2026-07-13 16:15:22] ADS value: 21.44, Ver: 109
[2026-07-13 16:15:54] ADS value: 21.44, Ver: 109
[2026-07-13 16:16:25] ADS value: 21.44, Ver: 109
[2026-07-13 16:16:56] ADS value: 21.44, Ver: 109
[2026-07-13 16:17:28] ADS value: 21.44, Ver: 109
[2026-07-13 16:17:59] ADS value: 21.43, Ver: 109
[2026-07-13 16:18:34] ADS value: 21.43, Ver: 109
[2026-07-13 16:19:02] ADS value: 21.44, Ver: 109
[2026-07-13 16:19:33] ADS value: 21.44, Ver: 109
[2026-07-13 16:20:05] ADS value: 21.44, Ver: 109
[2026-07-13 16:20:36] ADS value: 21.44, Ver: 109
[2026-07-13 16:21:08] ADS value: 21.43, Ver: 109
[2026-07-13 16:21:39] ADS value: 21.43, Ver: 109
[2026-07-13 16:22:10] ADS value: 21.42, Ver: 109
[2026-07-13 16:22:46] ADS value: 21.43, Ver: 109
[2026-07-13 16:23:18] ADS value: 21.43, Ver: 109
[2026-07-13 16:23:45] ADS value: 21.43, Ver: 109
[2026-07-13 16:24:18] ADS value: 21.43, Ver: 109
[2026-07-13 16:24:49] ADS value: 21.43, Ver: 109
[2026-07-13 16:25:20] ADS value: 21.43, Ver: 109
[2026-07-13 16:25:52] ADS value: 21.43, Ver: 109
[2026-07-13 16:27:02] ADS value: 21.43, Ver: 109
[2026-07-13 16:27:30] ADS value: 21.42, Ver: 109
[2026-07-13 16:28:02] ADS value: 21.42, Ver: 109
[2026-07-13 16:28:34] ADS value: 21.42, Ver: 109
[2026-07-13 16:29:05] ADS value: 21.42, Ver: 109
[2026-07-13 16:29:37] ADS value: 21.42, Ver: 109
[2026-07-13 16:30:08] ADS value: 21.42, Ver: 109
[2026-07-13 16:30:40] ADS value: 21.42, Ver: 109
[2026-07-13 16:31:12] ADS value: 21.42, Ver: 109
[2026-07-13 16:31:44] ADS value: 21.41, Ver: 109
[2026-07-13 16:32:15] ADS value: 21.41, Ver: 109
[2026-07-13 16:32:47] ADS value: 21.42, Ver: 109
[2026-07-13 16:33:22] ADS value: 21.41, Ver: 109
[2026-07-13 16:33:50] ADS value: 21.42, Ver: 109
[2026-07-13 16:34:26] ADS value: 21.42, Ver: 109
[2026-07-13 16:34:53] ADS value: 21.41, Ver: 109
[2026-07-13 16:35:29] ADS value: 21.42, Ver: 109
[2026-07-13 16:35:57] ADS value: 21.41, Ver: 109
[2026-07-13 16:36:31] ADS value: 21.41, Ver: 109
[2026-07-13 16:37:02] ADS value: 21.41, Ver: 109
[2026-07-13 16:37:34] ADS value: 21.41, Ver: 109
[2026-07-13 16:38:05] ADS value: 21.41, Ver: 109
[2026-07-13 16:38:37] ADS value: 21.41, Ver: 109
[2026-07-13 16:39:08] ADS value: 21.40, Ver: 109
[2026-07-13 16:39:39] ADS value: 21.41, Ver: 109
[2026-07-13 16:40:10] ADS value: 21.40, Ver: 109
[2026-07-13 16:40:42] ADS value: 21.41, Ver: 109
